441301.4354	4474963.99
440341.0826	4474609.248
439591.0701	4475156.12
439688.4721	4481161.012
441401.2987	4476643.773
442294.4987	4475753.389
442114.5832	4474853.132
441146.2634	4472698.763
440086.4828	4477489.525
442568.2633	4478174.071
443289.3869	4475628.617
444701.157	4471122.224
439164.7636	4470827.098
441617.675	4480037.761
445784.0035	4476874.421
437887.1938	4471910.658
437047.3688	4473369.736
445247.7027	4473317.411
439077.0863	4477040.366
439517.717	4473190.909
448746.9979	4477979.063
436436.6086	4474732.304
448849.9949	4470109.465
